STATIONS_ID,date_start,date_end,height,geo_lat,geo_lon,name,kl,more_precip,soil_temperature,solar,water_equiv,weather_phenomena,pressure,air_temperature
07351,20050908,20200816,116,53.3175,13.4175,Feldberg/Mecklenburg,True,True,True,False,False,False,,
07361,20060701,20200816,72,52.7363,10.3440,Scharnhorst-Marwede,False,True,False,False,False,False,,
07363,20050901,20200816,935,48.0028,8.2296,Vöhrenbach-Urach,False,True,False,False,False,False,,
07364,20090113,20200816,74,51.6820,12.3042,Jeßnitz,True,True,False,False,True,True,,
07367,20071201,20200816,144,51.9643,9.8072,Alfeld,True,True,True,False,False,False,,
07368,20071101,20200816,312,51.0007,10.3621,Eisenach,True,True,True,False,False,False,,
07369,20071101,20200816,475,49.1623,10.3661,Feuchtwangen-Heilbronn,True,True,True,False,False,False,,
07370,20061211,20200816,499,49.3910,12.6838,Waldmünchen,True,True,True,False,False,False,,
07372,20091222,20200816,37,52.7321,11.7123,Ballerstedt,False,True,False,False,True,False,,
07373,20060301,20200816,3,53.5984,6.7024,Borkum-Flugplatz,True,True,False,False,False,True,,
07374,20060301,20200816,46,52.0813,6.9409,Ahaus,True,True,True,False,False,False,,
07375,20091001,20200816,411,49.6450,7.5003,Homberg-Schönbornerhof,False,True,False,False,False,False,,
07378,20060701,20200816,101,51.0149,6.5173,Bedburg-Weiler,False,True,False,False,False,False,,
07380,20060915,20200816,233,48.9353,9.4009,Backnang,False,True,False,False,False,False,,
07381,20051101,20200815,756,48.2597,9.2295,Gammertingen,False,True,False,False,False,False,,
07382,20070124,20200816,666,47.7095,9.8659,Wangen/Allgäu-Schwaderberg,False,True,False,False,True,False,,
07389,20070209,20200816,82,52.7461,13.8427,Heckelberg,True,True,True,False,True,True,,
07391,20120201,20200816,443,49.5561,8.9669,Oberzent-Beerfelden-Vogelherd,True,False,False,False,False,False,,
07392,20080101,20200816,304,50.3332,10.4487,Aubstadt,True,False,False,False,False,False,,
07393,20100101,20200816,116,51.4493,14.2533,Hoyerswerda,True,True,True,False,False,False,,
07394,20060601,20200816,622,50.0315,11.9745,Wunsiedel-Schönbrunn,True,True,True,False,False,False,,
07395,20071201,20200816,351,48.6595,12.5388,Gottfrieding,True,True,True,False,False,False,,
07396,20080501,20200816,743,50.5084,9.2247,Hoherodskopf/Vogelsberg,True,True,True,False,False,False,,
07403,20070330,20200816,672,47.7955,10.0324,Leutkirch-Herlazhofen,True,True,True,False,False,False,,
07410,20110201,20200816,350,50.7513,9.0224,Neu-Ulrichstein,True,True,True,False,False,False,,
07412,20061001,20200816,340,50.0083,9.4238,Neuhütten/Spessart,True,True,True,False,False,False,,
07413,20050901,20200801,30,53.2818,11.5620,Grabow-Stadt,False,True,False,False,False,False,,
07416,20080911,20200816,541,51.0112,8.2733,Birkelbach,True,False,False,False,False,False,,
07418,20080601,20200816,321,50.8020,12.6366,Sankt,False,True,False,False,False,False,,
07419,20081212,20200816,389,50.6610,12.0756,Langenwetzendorf-Göttendorf,True,True,False,False,True,True,,
07420,20081125,20200816,246,51.1044,11.7112,Naumburg/Saale-Kreipitzsch,True,True,True,False,True,True,,
07421,20070323,20200816,383,50.3250,11.2395,Föritztal-Neuhaus-Schierschnitz,False,True,False,False,True,False,,
07423,20080102,20200816,163,51.3443,14.8387,Hähnichen-Trebus,False,True,False,False,True,False,,
07424,20070124,20200816,457,47.7724,12.9073,Piding,True,True,True,False,True,True,,
07425,20060801,20200816,212,52.1384,9.1119,Rinteln-Volksen,False,True,False,False,False,False,,
07427,20070901,20200816,17,54.0188,9.9255,Padenstedt,True,True,False,False,False,True,,
07428,20071114,20200816,397,50.4167,10.8156,Veilsdorf,True,True,False,False,True,True,,
07429,20070126,20200816,334,49.4250,9.3314,Seckach,False,True,False,False,True,False,,
07430,20081204,20200816,258,50.0615,10.8129,Rentweinsdorf-Treinfeld,False,True,False,False,True,False,,
07431,20071116,20200816,604,48.0130,11.5524,Oberhaching-Laufzorn,True,True,False,False,True,True,,
07432,20070501,20200816,72,52.6423,10.6627,Wittingen-Vorhop,True,True,True,False,False,True,,
07433,20080321,20200816,240,49.7261,6.6957,Trier-Irsch,False,True,False,False,False,False,,
07434,20061001,20200816,351,48.8042,8.4430,"Herrenalb,",False,True,False,False,False,False,,
07436,20061001,20200816,1025,48.1004,8.1973,Schönwald/Schwarzwald,False,True,False,False,False,False,,
07485,20061001,20200816,207,49.3077,8.1222,Maikammer,False,True,False,False,False,False,,
07486,20061001,20200816,111,49.3528,8.2708,Haßloch,False,True,False,False,False,False,,
07487,20061125,20200816,576,48.0272,9.4860,"Saulgau,Bad",False,True,False,False,False,False,,
07488,20061125,20200816,538,48.3846,8.4787,Betzweiler-Wälde,False,True,False,False,False,False,,
07489,20061125,20200816,348,48.7448,9.6484,Birenbach,False,True,False,False,False,False,,
07490,20061125,20200816,170,49.0334,8.7121,"Bretten,",False,True,False,False,False,False,,
07491,20061125,20200816,395,49.1540,10.0632,Crailsheim,False,True,False,False,False,False,,
07492,20061125,20200816,260,49.4844,10.0190,Creglingen,False,True,False,False,False,False,,
07493,20061125,20200816,304,48.6704,8.3534,Forbach,False,True,False,False,False,False,,
07494,20061125,20200816,160,48.9597,8.5905,"Königsbach-Stein,",False,True,False,False,False,False,,
07495,20070114,20200816,226,49.3786,9.6307,Krautheim,False,True,False,False,False,False,,
07496,20061125,20100209,460,49.0137,10.0477,Rosenberg,False,True,False,False,False,False,,
07497,20061125,20200816,651,48.1872,8.3667,Tennenbronn,False,True,False,False,False,False,,
07498,20061125,20200816,249,49.0580,8.9124,Zaberfeld,False,True,False,False,False,False,,
07499,20070701,20200816,172,50.7893,7.8280,Wallmenroth,False,True,False,False,False,False,,
07500,20070101,20200816,82,52.0223,12.1597,Badewitz,False,True,False,False,False,False,,
10339,19510101,20200816,365,48.9972,9.7396,Fichtenberg/BW-Michelbächle,False,True,False,False,False,False,,
10510,20090101,20200816,241,48.8059,9.5046,Winterbach/Remstal,True,False,False,False,False,False,,
13654,20081125,20200816,288,51.0063,13.4710,Wilsdruff-Mohorn,False,True,False,False,True,False,,
13662,20070501,20160129,37,52.3031,12.4029,Boecke,False,True,False,False,False,False,,
13663,20070101,20071231,84,51.0090,6.6982,Bergheim/Erft-Rheidt,False,True,False,False,False,False,,
13667,20061123,20080706,274,48.0006,7.8450,Freiburg-Mitte,True,False,True,False,False,False,,
13669,20070901,20200816,55,52.0087,7.8519,Ostbevern-Schirlheide,False,True,False,False,False,False,,
13670,20090106,20200816,24,51.5088,6.7018,Duisburg-Baerl,True,True,False,False,True,True,,
13671,20071201,20200816,221,50.9655,7.2753,Overath-Böke,False,True,False,False,False,False,,
13672,20081124,20141231,593,48.5537,9.9877,Weidenstetten,False,True,False,False,True,False,,
13673,20070301,20081231,393,49.1201,9.7808,Schwäbisch,False,True,False,False,False,False,,
13674,20070801,20200816,237,49.2943,8.9053,Waibstadt,True,True,True,False,False,False,,
13675,20121214,20200816,77,52.0818,9.4077,Hameln-Hastenbeck,True,True,True,False,True,True,,
13676,20100101,20200816,378,48.8608,12.0323,Langquaid-Oberschneidhart,True,False,False,False,False,False,,
13680,20070201,20090831,220,50.0325,10.1830,Schweinfurt-Oberndorf,False,True,False,False,False,False,,
13682,20070501,20200816,310,50.4522,8.5528,Cleeberg,False,True,False,False,False,False,,
13686,20070501,20071231,350,50.6027,7.7374,Mündersbach,False,True,False,False,False,False,,
13687,20071101,20200816,18,53.9005,9.8308,Weddelbrook,False,True,False,False,False,False,,
13688,20080301,20200816,128,51.1693,12.2618,Pegau,False,True,False,False,False,False,,
13689,20090901,20200816,241,50.4351,7.6657,Höhr-Grenzhausen,False,True,False,False,False,False,,
13691,20070501,20200816,85,50.3160,7.7784,Nassau,False,True,False,False,False,False,,
13693,20080611,20200816,70,51.9258,8.3111,Gütersloh/Ems,True,False,False,False,False,False,,
13694,20071101,20200816,590,47.8317,12.8222,Teisendorf-Babing,False,True,False,False,True,False,,
13695,20071120,20200816,780,47.8219,12.7715,Teisendorf-Neukirchen,False,True,False,False,True,False,,
13696,20090109,20200816,60,51.5966,7.4048,Waltrop-Abdinghof,True,True,False,False,True,True,,
13697,20070701,20070831,302,50.9629,8.9254,Wohratal-Hertingshausen,False,True,False,False,False,False,,
13698,20081211,20200816,503,48.8767,10.2414,Lauchheim,False,True,False,False,True,False,,
13699,20080301,20200816,66,52.3667,10.1266,Lehrte-Sievershausen,False,True,False,False,False,False,,
13700,20081125,20200816,205,51.3329,7.3411,Gevelsberg-Oberbröking,True,True,False,False,True,True,,
13701,20080901,20200816,250,51.1945,9.9885,Eschwege-Eltmannshausen,True,False,False,False,False,False,,
13709,20070901,20200814,408,50.4068,7.1459,Weibern/Eifel,False,True,False,False,False,False,,
13710,20081124,20200816,490,48.5734,12.2576,Landshut-Reithof,True,True,False,False,True,True,,
13711,20090105,20200816,289,50.6820,11.5150,Krölpa-Rockendorf,True,True,False,False,True,True,,
13712,20080901,20200816,44,52.1488,13.8359,Münchehofe,False,True,False,False,False,False,,
13713,20071101,20200816,386,51.0899,7.6289,Meinerzhagen-Redlendorf,True,True,False,False,False,True,,
13714,20071001,20200816,61,50.6125,7.2167,Linz-Unkel,False,True,False,False,False,False,,
