STATIONS_ID,date_start,date_end,height,geo_lat,geo_lon,name,air_temperature,cloud_type,cloudiness,dew_point,precipitation,pressure,soil_temperature,solar,sun,visibility,wind,wind_synop
00589,20040501,20191213,345,48.8848,12.7451,Bogen-Pfelling,False,True,False,False,True,False,False,False,False,False,False,False
00591,19950901,20191213,45,53.3911,10.6878,Boizenburg,True,True,True,True,True,True,True,False,True,True,True,True
00594,19950101,20000301,425,48.6407,9.6136,"Boll,",False,False,False,False,False,False,False,False,True,False,True,False
00596,19950901,20191213,15,54.0028,11.1908,Boltenhagen,True,True,True,True,True,True,True,False,True,True,True,True
00598,19510101,19570831,62,50.7285,7.0839,Bonn,True,False,False,False,False,False,False,False,True,False,False,False
00599,19950901,19990302,62,50.7055,7.1467,Bonn-Friesdorf,True,True,True,True,True,True,True,False,True,True,True,True
00601,20020102,20031031,158,50.6983,7.0356,Bonn-Hardthöhe,True,True,True,True,False,True,False,False,False,True,True,True
00602,19510101,19601231,60,50.7167,7.1000,Bonn-Poppelsdorf,False,False,False,False,False,False,False,False,True,False,False,False
00603,20080103,20191212,144,50.7290,7.2047,Königswinter-Heiderhof,True,True,True,True,True,True,True,False,True,True,True,True
00604,20061009,20191213,875,47.8194,8.3348,Bonndorf/Schwarzwald,False,True,False,False,False,False,False,False,True,False,False,False
00613,20041101,20191213,206,51.5677,9.2324,Borgentreich,False,True,False,False,True,False,False,False,False,False,False,False
00617,20040601,20191213,47,51.8730,6.8863,Borken,True,True,True,True,True,False,True,False,False,True,False,True
00619,20060720,20191212,12,53.5788,6.6703,Borkum-Süderstraße,False,True,False,False,False,False,False,False,True,False,True,True
00620,19790103,19880715,6,53.8000,6.3667,Borkumriff,False,True,True,True,False,True,False,False,False,True,False,True
00621,19610101,19971231,440,50.3127,6.8260,Borler,False,False,False,False,False,False,False,False,True,False,False,False
00622,20060601,20191213,66,52.3745,11.4655,Born,False,True,False,False,True,False,False,False,False,False,False,False
00630,20060601,20191213,83,52.0194,11.4055,Bottmersdorf-Klein,False,True,False,False,True,False,False,False,False,False,False,False
00633,20040601,20191213,125,51.4041,14.5682,Boxberg,False,True,False,False,True,False,False,False,False,False,False,False
00634,19870101,19910331,373,49.4442,9.6458,Boxberg-Seehof,False,False,False,False,False,False,True,False,True,False,True,False
00635,19800501,19900930,378,49.4500,9.6333,Boxberg-Seehof,False,False,False,False,False,False,False,False,False,False,True,False
00636,19811101,19910331,373,49.4500,9.6500,Boxberg-Seehof,False,False,False,False,False,False,False,False,False,False,True,False
00642,20080402,20191212,1,53.3517,8.4969,Brake,False,True,False,False,False,False,True,False,True,False,True,True
00643,19931102,19940331,0,53.2960,8.4529,Brake-Süderfeld,False,False,False,False,False,False,True,False,False,False,False,False
